"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/","1","Self catering holiday cottages in North Norfolk - Sowerbys Holiday Cottages","75","669","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","1","Norfolk Holiday Cottages special offers | Sowerbys Holiday Cottages","67","606","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","1","Norfolk Luxury Collection holiday cottages - Sowerbys Holiday Cottages","70","633","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","1","Norfolk Sea views holiday cottages - Sowerbys Holiday Cottages","62","570","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","1","Norfolk Holiday Cottage to rent in Houghton Estate - Washmeres","62","574","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","1","Norfolk Electric Charging holiday cottages - Sowerbys Holiday Cottages","70","631","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","1","Popular Norfolk holiday cottage villages and locations | Sowerbys Holiday Cottages","82","735","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","1","Norfolk Romantic break holiday cottages - Sowerbys Holiday Cottages","67","620","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","1","Request your free Homeowner's Guide - Sowerbys Holiday Cottages","63","600","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","1","Sowerbys Holiday Cottages | Norfolk holiday cottage owner information","69","633","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","1","Norfolk Dog friendly holiday cottages - Sowerbys Holiday Cottages","65","586","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","1","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Aster House","70","634","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","1","Norfolk Holiday Cottage to rent in Burnham Market - 3 The Old School","68","617","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","1","Norfolk Holiday Cottage to rent in Wells-next-the-sea - Channel View and Cottage","80","721","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","1","Norfolk Holiday Cottage to rent in Titchwell - 3 Marshland Barns","64","565","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","1","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - The Dairy Barn 2 bedrooms","84","765","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","1","Norfolk Holiday Cottage to rent in Burnham Market - Crowberry Barn","66","604","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","1","Norfolk Holiday Cottage to rent in Brancaster Staithe - Close Cottage","69","610","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","1","Norfolk Holiday Cottage to rent in Burnham Market - Nelson Cottage","66","605","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","1","Norfolk Holiday Cottage to rent in Holme-next-the-Sea - Sybil Cottage","69","615","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","1","Norfolk Holiday Cottage to rent in Burnham Market - The Old Forge","65","592","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","1","Norfolk Holiday Cottage to rent in Great Snoring - Slumber Barn 5 bedrooms","74","673","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","1","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Flagstaff Cottage","76","680","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","1","Norfolk Holiday Cottage to rent in Sedgeford - The Old Post Office","66","584","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","1","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - The Dairy Barn","73","654","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","1","Norfolk Holiday Cottage to rent in North Creake - Oak Tree Cottage","66","593","Indexable",""
