"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/","13","Find your Norfolk cottage","25","The Place You Deserve.","22","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/","9","Featured Properties","19","Aster House","11","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","47","Sybil Cottage","13","3 The Old School","16","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","0","","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","71","Displaying 70 properties","24","1 Manor Farm Barns","18","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","1","Owner testimonials","18","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","1","FAQs","4","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","45","Displaying 44 properties","24","1 Crarves","9","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","17","Displaying 16 properties","24","6 Monteagle","11","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","72","Displaying 71 properties","24","1 Knights Cottages","18","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","72","Displaying 71 properties","24","1 Knights Cottages","18","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","0","","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","4","from £ 1,595 to £ 2,995 per week","32","Guest reviews","13","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","34","Displaying 33 properties","24","2 Waterhall Cottages","20","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","7","Our locations","13","Specialising in the beautiful North Norfolk Coastal area","56","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","1","Meet the team","13","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","81","Displaying 80 properties","24","1 Manor Farm Barns 3 bedrooms","29","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","1","Sign up for our newsletter","26","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","4","from £ 1,695 to £ 4,090 per week","32","Guest reviews","13","Indexable",""
