"Address","Occurrences","Meta Keywords 1","Meta Keywords 1 Length","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","0","","0","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","0","","0","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","0","","0","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","0","","0","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","0","","0","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","0","","0","Indexable",""
